strategy,3,5,8,10,12
one_choice,4.6,7.4,12.1,15.3,18.2
two_choice,3.3,6.1,9,11,13.2
two_thinning_fixed_limit_0,4.2,7.7,11.9,14.8,17.7
two_thinning_fixed_limit_1,4.2,7.6,11.7,15.7,17.6
two_thinning_fixed_limit_2,4,7.2,11.6,14.3,17.5
two_thinning_fixed_limit_3,3.7,6.4,11.7,14.1,16.9
two_thinning,3.9,6.1,10.6,14,16.5
three_thinning,3.8,5.7,10.5,13.7,17.1
two_thinning_rare_change,3.6,6.8,10.3,13,14.5
