strategy,10,20,50,100
one_choice,2.78,3.36,3.74,4.32
two_choice,2.0,2.14,2.46,2.44
two_thinning_fixed_limit_0,2.76,3.28,3.7,4.4
two_thinning_fixed_limit_1,2.3,2.62,3.22,3.36
two_thinning_fixed_limit_2,2.22,2.36,2.84,2.98
two_thinning_fixed_limit_3,2.54,2.92,3.12,3.14
two_thinning,2.06,2.3,2.6,3.1
three_thinning,2.12,2.2,2.12,2.44
