strategy,10,20,50,100
one_choice,3.2,3.6,4.0,4.5
two_choice,2.0,2.0,2.1,2.6
two_thinning_fixed_limit_0,2.5,3.3,3.9,4.4
two_thinning_fixed_limit_1,2.3,2.7,3.1,3.2
two_thinning_fixed_limit_2,2.2,2.3,2.6,3.1
two_thinning_fixed_limit_3,2.8,3.0,3.0,3.1
two_thinning,2.0,2.5,2.5,3.2
three_thinning,2.1,2.1,2.2,2.4
two_thinning,2.4,3.1,2.6,3.1
