,mean_5_5,confidence_5_5,mean_5_10,confidence_5_10,mean_5_25,confidence_5_25,mean_20_20,confidence_20_20,mean_20_60,confidence_20_60,mean_20_400,confidence_20_400,mean_50_50,confidence_50_50,mean_50_200,confidence_50_200,mean_50_2500,confidence_50_2500
always_accept,2.302,0.05484952527990394,3.744,0.07395522394983489,7.738,0.10907170186129367,3.182,0.060335296955484896,6.586,0.09179654455980568,28.718,0.20355832529853757,3.784,0.06758512101177461,9.138,0.10273290679350744,66.576,0.30791908510326493
local_reward_optimiser,1.838,0.03881998464997172,3.0,0.04077788472082,6.072,0.04764017443086388,2.258,0.03878824238938483,4.704,0.049039068148744924,22.462,0.06005906543612127,2.59,0.04691426275422472,6.322,0.04389773610098047,53.948,0.0654999217508987
mean_thinning,1.87,0.04448861201249721,3.042,0.051478509215234336,6.218,0.055939073921394744,2.532,0.05183171732310665,5.018,0.06575681231534958,22.6,0.0857880437010401,3.024,0.05318407113332002,6.906,0.07471639960034349,53.34,0.09629044452437086
dp,1.81,0.03903199192993845,2.992,0.04261818245291282,6.118,0.051764837851764334,2.212,0.036288329332677005,4.594,0.048469045543194866,-1.0,-1.0,2.592,0.04555186972078484,-1.0,-1.0,-1.0,-1.0
dqn,1.89,0.044210880935972696,3.02,0.05021919707470879,6.226,0.062469674746784776,2.388,0.046216268608328726,4.84,0.0660327585557905,22.184,0.06117588816224995,2.842,0.04550959984359748,6.838,0.07148288107337564,53.3,0.08641391578808566
threshold,2.254,0.05157174039366774,3.412,0.06118293474195369,6.642,0.06874229002728693,2.602,0.05290629712320438,5.172,0.05835972417724822,24.176,0.1000784273693327,3.006,0.049785339765870074,7.068,0.06724436811074419,56.522,0.12212946847920847
