score
-6
-5
-6
-8
-7
-5
-7
-7
-5
-5
-6
-6
-7
-7
-7
-7
-6
-7
-6
-8
-6
-7
-6
-8
-6
-8
-7
-6
-5
-6
-6
-7
-7
-6
-7
-7
-9
-5
-6
-6
-7
-5
-6
-8
-8
-9
-7
-6
-6
-6
-8
-6
-6
-9
-6
-6
-7
-7
-6
-8
-8
-6
-6
-6
-6
-7
-6
-8
-6
-10
-6
-4
-6
-8
-8
-7
-6
-8
-7
-6
-7
-9
-6
-7
-6
-10
-6
-6
-7
-6
-7
-7
-6
-7
-7
-7
-9
-6
-8
-5
-8
-7
-6
-6
-6
-5
-6
-7
-7
-6
-8
-8
-7
-7
-8
-8
-7
-7
-7
-6
-5
-7
-6
-6
-6
-7
-5
-7
-5
-6
-6
-8
-7
-9
-6
-6
-7
-7
-6
-6
-8
-6
-6
-6
-7
-6
-6
-6
-7
-5
-6
-7
-8
-7
-7
-6
-10
-6
-8
-5
-6
-9
-8
-8
-7
-6
-6
-7
-6
-7
-7
-6
-5
-6
-8
-6
-6
-7
-6
-6
-9
-5
-8
-8
-6
-6
-5
-5
-8
-6
-5
-8
-6
-9
-7
-7
-7
-6
-7
-8
