,mean_cycle_4_25,confidence_cycle_4_25,mean_hypercube_4_25,confidence_hypercube_4_25,mean_complete_4_25,confidence_complete_4_25,mean_cycle_16_50,confidence_cycle_16_50,mean_hypercube_16_50,confidence_hypercube_16_50,mean_complete_16_50,confidence_complete_16_50,mean_cycle_32_32,confidence_cycle_32_32,mean_hypercube_32_32,confidence_hypercube_32_32,mean_complete_32_32,confidence_complete_32_32
greedy,7.056,0.020173340961910036,7.06,0.020837104521116423,7.186,0.03674663407990586,4.752,0.05397945125610981,4.514,0.04657698739208893,4.402,0.045792903531785,2.4,0.045759605345986554,2.33,0.041628001899692624,2.26,0.03848578523993185
random,8.956,0.11500520252514512,8.966,0.11813485021090742,8.842,0.11348813556008075,6.488,0.09342793920901649,6.618,0.09895878345671516,6.692,0.10400566580715509,3.492,0.06065724630175984,3.516,0.06505460844557698,3.502,0.063391555081457
local_reward_optimiser,7.118,0.02830564883476505,7.114,0.027884772448772743,7.248,0.04248792655615308,4.866,0.05577147739551869,4.768,0.04854934675059486,4.736,0.05073043715260184,2.53,0.04717608139127494,2.436,0.04455811983770808,2.376,0.042860267665371765
dp,7.044,0.01799505186017125,7.026,0.013962525221880462,7.166,0.03403182616353462,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dqn,7.282,0.058363681385778854,7.194,0.04005061241153829,7.31,0.04691426275422472,4.884,0.06788062916900373,4.526,0.05474612776101573,4.5,0.05131104637712447,2.682,0.060079570584573805,2.544,0.05176394554174024,2.604,0.056535094515228757
