d,score
1,2
1,4
1,2
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,4
1,2
1,3
1,2
1,2
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,3
2,3
2,2
2,2
2,2
2,3
2,2
2,3
2,3
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,3
2,3
2,3
2,3
2,3
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,2
2,3
2,3
2,2
2,3
2,3
2,3
2,2
2,2
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,3
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,2
2,3
2,3
2,2
2,2
2,3
2,3
2,3
2,2
2,2
2,3
2,3
2,4
2,2
2,3
2,2
2,2
2,3
2,3
2,2
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,3
2,2
2,2
2,3
2,3
2,3
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,3
2,2
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,2
2,3
2,3
2,3
2,2
2,2
2,3
2,2
2,2
2,3
2,2
2,3
2,2
2,3
2,3
2,3
2,2
2,2
2,2
2,3
2,2
2,3
2,3
2,3
2,2
2,2
2,3
2,2
2,3
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,3
2,2
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,3
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,4
2,3
2,2
2,4
2,3
2,2
2,3
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,2
2,3
2,3
2,3
2,3
2,2
2,3
2,3
2,2
2,2
2,3
2,3
2,3
2,2
2,2
2,2
2,3
2,2
2,2
2,3
2,3
2,2
2,3
2,2
2,3
2,3
2,2
2,3
2,2
2,3
2,3
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,3
2,3
2,2
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,3
2,2
2,3
2,2
2,3
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,3
2,3
2,2
2,3
2,2
2,2
2,2
2,3
2,3
2,2
2,2
2,3
2,3
2,2
2,3
2,3
2,2
2,2
2,3
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,3
2,2
2,2
2,3
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,2
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,3
2,3
2,3
2,3
2,2
2,2
2,2
2,3
2,2
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,3
2,2
2,3
2,2
2,3
2,3
2,3
2,2
2,3
2,2
2,2
2,3
2,2
2,2
2,3
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,2
