score
-11
-17
-13
-17
-13
-9
-10
-9
-14
-8
-11
-12
-13
-11
-12
-16
-10
-11
-10
-13
-9
-11
-9
-10
-9
-12
-9
-10
-9
-9
-13
-10
-9
-11
-10
-10
-13
-11
-9
-12
-12
-9
-10
-14
-9
-10
-10
-13
-10
-13
-12
-12
-8
-9
-11
-14
-8
-13
-10
-13
-9
-10
-10
-11
-13
-9
-12
-9
-11
-11
-13
-11
-11
-10
-12
-9
-10
-9
-9
-10
-11
-8
-9
-11
-11
-11
-9
-13
-11
-10
-10
-9
-11
-11
-13
-11
-8
-14
-11
-10
