score
-5
-3
-7
-3
-4
-4
-3
-4
-7
-3
-4
-7
-3
-2
-4
-3
-5
-2
-4
-4
-6
-5
-3
-3
-4
-3
-4
-3
-4
-4
-4
-5
-4
-5
-4
-4
-4
-5
-4
-4
-4
-4
-4
-5
-4
-4
-3
-4
-4
-5
-4
-5
-4
-3
-5
-4
-5
-4
-7
-3
-5
-4
-4
-4
-4
-4
-4
-4
-4
-5
-4
-4
-3
-4
-4
-4
-4
-3
-4
-4
-3
-4
-5
-5
-4
-4
-3
-4
-4
-3
-4
-4
-4
-5
-4
-5
-5
-5
-7
-4
