,mean_5_25_2,confidence_5_25_2,mean_5_25_3,confidence_5_25_3,mean_5_25_5,confidence_5_25_5,mean_5_25_10,confidence_5_25_10,mean_20_50_2,confidence_20_50_2,mean_20_50_3,confidence_20_50_3,mean_20_50_5,confidence_20_50_5,mean_20_50_10,confidence_20_50_10
always_accept,7.726,0.10670155450291752,7.762,0.11075267595808036,7.592,0.10549023848913563,7.668,0.10637103719715224,5.818,0.08760288086672041,5.786,0.08118699077542857,5.828,0.0867879822021802,5.858,0.09375613245392334
local_reward_optimiser,6.092,0.04704829956457601,5.742,0.04184344398224571,5.414,0.04321622189805119,5.13,0.029507276118422965,4.17,0.040121285047240995,3.732,0.041911460924848765,3.202,0.035226942346098244,3.004,0.005538057786931727
quantile,6.228,0.053515381727514466,5.99,0.03658875307441445,5.582,0.044330518534867025,5.17,0.03295803609875492,4.364,0.0637251251128168,3.656,0.05128583475698445,3.122,0.028716069218080786,3.0,0.0
dp,6.126,0.04560152896395131,5.734,0.04362753732855129,5.386,0.04307347829360619,5.112,0.027670264617996487,4.084,0.037322429948462243,3.632,0.04303521411358657,3.096,0.02584744679076545,3.0,0.0
threshold,6.56,0.06268348748571118,6.292,0.047633710276038244,6.136,0.037789788175230044,5.92,0.0348318005411814,4.53,0.04909523600019128,4.194,0.03927422870509201,3.922,0.03234693312064607,3.956,0.028030710794518576
dqn,6.666,0.07076243584691788,5.874,0.053952918225081525,5.6,0.04963326068652929,5.222,0.04046671000022162,4.514,0.05099530717270717,3.952,0.046568061335873434,3.424,0.04475808454991981,3.036,0.016345100135012558
