trial_id,score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.batch_size,config.eps_start,config.eps_end,config.eps_decay,config.train_episodes,config.target_update_freq,config.memory_capacity,config.eval_runs_train,config.patience,config.optimise_freq,config.max_threshold
81d0e_00000,-2.33,34.95934343338013,True,,,1,a8b51d7a5dfb4eef920ebdcbc3db184f,2022-02-22_03-43-26,1645501406,34.95934343338013,17312,LAPTOP-HOHBRLK7,10.249.175.101,34.95934343338013,0,1,"0_batch_size=36,eps_decay=2460.5,eps_end=0.085013,eps_start=0.32692,eval_runs_train=2,max_threshold=3,memory_capacity=43,optimise_freq=1,patience=771,target_update_freq=13,train_episodes=1410",36,0.32691597795423827,0.08501276235588467,2460.5361933717054,1410,13,43,2,771,1,3
81d0e_00001,-2.3,13.875460147857666,True,,,1,9a27f98b998343e3841e80192ee047c4,2022-02-22_03-43-43,1645501423,13.875460147857666,3644,LAPTOP-HOHBRLK7,10.249.175.101,13.875460147857666,0,1,"1_batch_size=33,eps_decay=5551.8,eps_end=0.060093,eps_start=0.32562,eval_runs_train=22,max_threshold=3,memory_capacity=230,optimise_freq=3,patience=310,target_update_freq=15,train_episodes=2798",33,0.3256171494601775,0.06009307454655557,5551.791201732928,2798,15,230,22,310,3,3
81d0e_00002,-2.18,4.866810083389282,True,,,1,27ad3d75367245769a629940d7926bbd,2022-02-22_03-43-50,1645501430,4.866810083389282,10848,LAPTOP-HOHBRLK7,10.249.175.101,4.866810083389282,0,1,"2_batch_size=33,eps_decay=797.9,eps_end=0.074644,eps_start=0.27454,eval_runs_train=20,max_threshold=4,memory_capacity=356,optimise_freq=3,patience=34,target_update_freq=13,train_episodes=2793",33,0.27454473899840875,0.07464438010184228,797.8992707974933,2793,13,356,20,34,3,4
